Fecha,Temporada,Jornada,Equipo1,Equipo2,Goles1,Goles2
8/09/1979,1979-1980,1,Rayo Vallecano,Betis,2,1
8/09/1979,1979-1980,1,AD Almería,Español,2,5
8/09/1979,1979-1980,1,Sevilla,Sporting de Gijón,1,2
8/09/1979,1979-1980,1,Las Palmas,Real Sociedad,0,1
9/09/1979,1979-1980,1,CD Málaga,Burgos,0,1
9/09/1979,1979-1980,1,Atlético de Madrid,Hércules,3,2
9/09/1979,1979-1980,1,Valencia,Real Madrid,1,3
9/09/1979,1979-1980,1,Athletic Club,Salamanca,1,2
9/09/1979,1979-1980,1,Barcelona,Zaragoza,2,2
15/09/1979,1979-1980,2,Real Sociedad,Athletic Club,1,0
15/09/1979,1979-1980,2,Sporting de Gijón,Atlético de Madrid,3,1
15/09/1979,1979-1980,2,Betis,Barcelona,0,5
15/09/1979,1979-1980,2,Hércules,Las Palmas,1,2
15/09/1979,1979-1980,2,Español,CD Málaga,2,1
15/09/1979,1979-1980,2,Salamanca,Valencia,2,2
16/09/1979,1979-1980,2,Zaragoza,AD Almería,0,1
16/09/1979,1979-1980,2,Real Madrid,Rayo Vallecano,2,1
16/09/1979,1979-1980,2,Burgos,Sevilla,1,6
22/09/1979,1979-1980,3,Zaragoza,Español,0,2
23/09/1979,1979-1980,3,AD Almería,Betis,0,0
23/09/1979,1979-1980,3,Atlético de Madrid,Burgos,1,1
23/09/1979,1979-1980,3,Las Palmas,Sporting de Gijón,1,4
23/09/1979,1979-1980,3,Athletic Club,Hércules,1,2
23/09/1979,1979-1980,3,Sevilla,CD Málaga,1,2
23/09/1979,1979-1980,3,Valencia,Real Sociedad,0,0
23/09/1979,1979-1980,3,Barcelona,Real Madrid,2,3
23/09/1979,1979-1980,3,Rayo Vallecano,Salamanca,0,3
29/09/1979,1979-1980,4,CD Málaga,Atlético de Madrid,0,0
29/09/1979,1979-1980,4,Burgos,Las Palmas,1,2
29/09/1979,1979-1980,4,Hércules,Valencia,0,0
30/09/1979,1979-1980,4,Real Madrid,AD Almería,1,1
30/09/1979,1979-1980,4,Sporting de Gijón,Athletic Club,3,2
30/09/1979,1979-1980,4,Salamanca,Barcelona,0,0
30/09/1979,1979-1980,4,Real Sociedad,Rayo Vallecano,1,1
30/09/1979,1979-1980,4,Español,Sevilla,1,2
30/09/1979,1979-1980,4,Betis,Zaragoza,1,5
14/10/1979,1979-1980,5,Athletic Club,Burgos,1,1
14/10/1979,1979-1980,5,Betis,Español,0,0
14/10/1979,1979-1980,5,Valencia,Sporting de Gijón,2,4
14/10/1979,1979-1980,5,Rayo Vallecano,Hércules,2,2
14/10/1979,1979-1980,5,Las Palmas,CD Málaga,0,1
14/10/1979,1979-1980,5,Barcelona,Real Sociedad,3,4
14/10/1979,1979-1980,5,Zaragoza,Real Madrid,2,3
14/10/1979,1979-1980,5,AD Almería,Salamanca,1,2
14/10/1979,1979-1980,5,Atlético de Madrid,Sevilla,2,2
20/10/1979,1979-1980,6,Hércules,Barcelona,0,2
20/10/1979,1979-1980,6,Sevilla,Las Palmas,0,2
20/10/1979,1979-1980,6,Burgos,Valencia,1,3
21/10/1979,1979-1980,6,Real Sociedad,AD Almería,0,0
21/10/1979,1979-1980,6,CD Málaga,Athletic Club,1,3
21/10/1979,1979-1980,6,Español,Atlético de Madrid,1,1
21/10/1979,1979-1980,6,Real Madrid,Betis,3,2
21/10/1979,1979-1980,6,Sporting de Gijón,Rayo Vallecano,2,1
